DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2
"05/01/202
0",21:53,603,007,HE717,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA REPÚBLICA ARGENTINA,
VILA IZABEL, CURITIBA","R. PROF. SEBASTIÃO PARANÁ, 6 -
VILA IZABEL, CURITIBA - PR,
80320-070, BRASIL","RUA PROFESSOR DÁRIO VELOSO, 21 -
VILA IZABEL, CURITIBA - PR,
80320-050, BRASIL"
"09/01/202
0",22:40,304,005,DL303,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA ARYTON SENNA DA SILVA,
PINHAIS, PINHAIS","R. JERÔNIMO BUSATO FILHO, 470 -
ESTÂNCIA PINHAIS, PINHAIS - PR,
83323-090, BRASIL","R. LAURA DOS SANTOS, 12 -
ESTÂNCIA PINHAIS, PINHAIS - PR,
83323-092, BRASIL"
"16/01/202
0",18:23,500,011,GE718,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, CENTRO, CURITIBA","AV. VISC. DE GUARAPUAVA, 2858 -
CENTRO, CURITIBA - PR,
80010-100, BRASIL","R. ANDRÉ DE BARROS, 282 -
CENTRO, CURITIBA - PR,
80010-080, BRASIL"
"30/01/202
0",20:20,505,006,EL305,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, BOQUEIRÃO, CURITIBA","R. WALDEMAR LOUREIRO CAMPOS,
1363F - BOQUEIRÃO, CURITIBA -
PR, 81650-200, BRASIL","RUA ITALINO PERUFFO, 113 -
BOQUEIRÃO, CURITIBA - PR,
81650-330, BRASIL"
"05/02/202
0",13:58,619,007,HI017,ATROPELAMENTO,CICLISTA,0,0,"RUA ERNESTO GERMANO FRANCISCO
HANNEMANN, TATUQUARA, CURITIBA","R. ARCÉSIO DE BARROS LIMA, 26 -
TATUQUARA, CURITIBA - PR,
81480-246, BRASIL","RUA MONSENHOR ALFREDO DE ARRUDA
CÂMARA, 1 - TATUQUARA, CURITIBA
- PR, 81020-490, BRASIL"
"06/02/202
0",17:18,680,007,HA028,ATROPELAMENTO,CICLISTA,1,0,"RUA ÂNGELO TOZIM, VILA RURBANA,
CAMPO DE SANTANA","MIGUEL FURMANN, 15 - CAMPO DE
SANTANA, CURITIBA - PR,
81020-490, BRASIL","TRAVESSA HERMINHO CUNHA, 7 -
CAMPO DE SANTANA, CURITIBA - PR,
81490-255, BRASIL"
"11/02/202
0",13:56,541,011,GC014,ATROPELAMENTO,CICLISTA,1,0,"RUA CIDADE DE PALMAS, SÍTIO
CERCADO, CURITIBA","R. DAVID TOWS, 475 - SÍTIO
CERCADO, CURITIBA - PR,
81920-380, BRASIL","R. MILTON MIRAMIR VISINONI, 575
- SÍTIO CERCADO, CURITIBA - PR,
81920-070, BRASIL"
"15/02/202
0",18:41,303,009,LE705,ATROPELAMENTO,CICLISTA,1,0,"RUA DEPUTADO HEITOR ALENCAR
FURTADO, CAMPINA DO SIQUEIRA,
CURITIBA","R. GEN. MÁRIO TOURINHO, 1810 -
CAMPINA DO SIQUEIRA, CURITIBA -
PR, 80740-000, BRASIL","R. MAJ. HEITOR GUIMARÃES, 1740 -
SEMINÁRIO, CURITIBA - PR,
80740-060, BRASIL"
"28/02/202
0",09:39,700,007,HL318,ATROPELAMENTO,CICLISTA,0,0,"AVENIDA REPUBLICA ARGENTINA,
ÁGUA VERDE, CURITIBA","R. GOIÁS, 18 - ÁGUA VERDE,
CURITIBA - PR, 80620-060, BRASIL","R. MATO GROSSO, 30 - ÁGUA VERDE,
CURITIBA - PR, 80620-070, BRASIL"
"04/03/202
0",16:38,471,006,EA204,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, CENTRO, CURITIBA","AV. VISC. DE GUARAPUAVA, 2822 -
CENTRO, CURITIBA - PR,
80010-130, BRASIL","R. ANDRÉ DE BARROS, 296 -
CENTRO, CURITIBA - PR,
80010-080, BRASIL"
"06/03/202
0",21:32,505,006,EL313,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, HAUER, CURITIBA","ROD. RÉGIS BITTENCOURT, 2429 -
CAPÃO RASO, CURITIBA - PR,
82710-250, BRASIL","R. ARTUR HAUER, 370 - HAUER,
CURITIBA - PR, 81610-190, BRASIL"
"06/03/202
0",14:03,503,011,GE601,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, HAUER, CURITIBA","R. CEL ANTONIO R DOS SANTOS, 547
- HAUER, CURITIBA - PR,
81610-160, BRASIL","R. MAJ. FABRICIANO DO RÊGO
BARROS, 540 - HAUER, CURITIBA -
PR, 81610-170, BRASIL"
"10/03/202
0",17:15,500,011,GE711,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, PAROLIN, CURITIBA","R. PROF. PLÁCIDO E SILVA, 15 -
PAROLIN, CURITIBA - PR,
80220-400, BRASIL","R. PROF. LEÔNIDAS FERREIRA DA
COSTA, 11 - PAROLIN, CURITIBA -
PR, 80220-410, BRASIL"
"26/04/202
0",07:23,506,006,EL309,ATROPELAMENTO,CICLISTA,0,0,"RODOVIA RÉGIS BITTENCOURT,
FANNY, CURITIBA","AV. SANTA BERNADETE, 2350 -
FANNY, CURITIBA - PR, 81650-200,
BRASIL","AV. BRASÍLIA, 6847 - CAPÃO RASO,
CURITIBA - PR, 81020-010, BRASIL"
"26/04/202
0",13:32,506,006,EL307,ATROPELAMENTO,CICLISTA,1,0,"RODOVIA RÉGIS BITTENCOURT,
FANNY, CURITIBA","AV. SANTA BERNADETE, 605 -
FANNY, CURITIBA - PR, 82590-100,
BRASIL","R. LEONEL FRANÇA, 35 - FANNY,
CURITIBA - PR, 81030-250, BRASIL"
"30/04/202
0",18:30,602,011,GE703,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA PRESIDENTE WENCESLAU
BRAZ, PAROLIN, CURITIBA","RUA ANTÔNIO MELILLO, 151 -
PAROLIN, CURITIBA - PR,
81030-090, BRASIL","RUA FRANCISCO ZANETTI, 206 -
PAROLIN, CURITIBA - PR,
81030-080, BRASIL"
"05/05/202
0",13:00,615,007,HI022,ATROPELAMENTO,CICLISTA,1,0,"PRAÇA DESEMBARGADOR ARMANDO
CARNEIRO, PORTÃO, CURITIBA","AV. REP. ARGENTINA, 3367 - ÁGUA
VERDE, CURITIBA - PR, 80610-250,
BRASIL","RUA LOURIVAL PORTELLA NATEL, 185
- PORTÃO, CURITIBA - PR,
80610-250, BRASIL"
"18/05/202
0",06:47,706,008,JI604,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA PRESIDENTE ARTHUR DA
SILVA BERNARDES, SANTA QUITÉRIA,
CURITIBA","R. REINALDO PAZELLO, 1342 -
SANTA QUITERIA, CURITIBA - PR,
80310-110, BRASIL","R. PROF. ULISSES VIEIRA, 1241 -
SANTA QUITERIA, CURITIBA - PR,
80310-120, BRASIL"
"25/05/202
0",14:56,200,011,GE717,ATROPELAMENTO,CICLISTA,0,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","R. ALFERES POLI, 372 - CENTRO,
CURITIBA - PR, 80220-050, BRASIL","R. DES. WESTPHALEN, 3225 -
REBOUÇAS, CURITIBA - PR,
80220-031, BRASIL"
"03/07/202
0",09:41,503,011,GE606,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, CENTRO, CURITIBA","AV. SETE DE SETEMBRO, 3028 -
CRISTO REI, CURITIBA - PR,
80230-085, BRASIL","AV. SILVA JARDIM, 717 - ÁGUA
VERDE, CURITIBA - PR, 80230-000,
BRASIL"
"07/07/202
0",17:24,658,007,HA029,ATROPELAMENTO,CICLISTA,1,0,"RUA PROFESSOR ALGACYR MUNHOZ
MADER, CIDADE INDUSTRIAL DE
CURITIBA, CURITIBA","R. AGÍLIO LEÃO DE MACEDO, 13 -
CIDADE INDUSTRIAL DE CURITIBA,
CURITIBA - PR, 81350-050, BRASIL","RUA RAYMUNDO RAMOS FERREIRA, 48
- FAZENDINHA/PORTÃO, CURITIBA -
PR, 81350-040, BRASIL"
"10/07/202
0",19:53,022,006,ER803,ATROPELAMENTO,CICLISTA,1,0,"RUA ANTÔNIO BARIQUELO, FANNY,
CURITIBA","BR-116, 12984 - NOVO MUNDO,
CURITIBA - PR, 81690-200, BRASIL","R. OMILIO MONTEIRO SOARES, 334 -
FANNY, CURITIBA - PR, 81030-000,
BRASIL"
"03/08/202
0",15:15,050,005,DR115,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA PRESIDENTE KENNEDY,
PORTÃO, CURITIBA","AV. REP. ARGENTINA, 3530 -
PORTÃO, CURITIBA - PR,
80610-260, BRASIL","RUA WILSON DE FRANÇA, 334 -
PORTÃO, CURITIBA - PR,
80610-256, BRASIL"
