DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2
"23/01/202
3",09:41,508,011,GL329,ATROPELAMENTO,CICLISTA,1,0,"RUA JOÃO LAERTES BOCHNIA,
PINHEIRINHO, CURITIBA","RUA JOSÉ EGIDIO MARTINS, 50 -
PINHEIRINHO, CURITIBA - PR,
81870-352, BRASIL","R. IZAAC FERREIRA DA CRUZ, 530 -
PINHEIRINHO, CURITIBA - PR,
81870-000, BRASIL"
"23/01/202
3",18:21,531,006,EA023,ATROPELAMENTO,CICLISTA,1,0,"RUA MAESTRO CARLOS FRANK,
BOQUEIRÃO, CURITIBA","R. PEDRO RAMOS DE OLIVEIRA, 33 -
ALTO BOQUEIRÃO, CURITIBA - PR,
81750-410, BRASIL","R. PAULO SETÚBAL, 5320 -
BOQUEIRÃO, CURITIBA - PR,
81750-190, BRASIL"
"17/02/202
3",19:52,633,011,GC018,ATROPELAMENTO,CICLISTA,0,0,"RUA PROFESSOR JÚLIO TEODORICO
GUIMARÃES, PINHEIRINHO, CURITIBA","R. FRANCISCO CLAUDINO FERREIRA,
819 - PINHEIRINHO, CURITIBA -
PR, 81825-260, BRASIL","R. FRANCISCO BARBOSA, 410 -
PINHEIRINHO, CURITIBA - PR,
81825-230, BRASIL"
"26/02/202
3",11:30,684,007,HI043,ATROPELAMENTO,CICLISTA,1,0,"RUA ENETTE DUBARD, TATUQUARA,
CURITIBA","R. NELSON ANTONIO ZAMPROGNA, 506
- TATUQUARA, CURITIBA - PR,
81470-420, BRASIL","R. JORN. EMÍLIO ZOLÁ FLORENZANO,
174 - TATUQUARA, CURITIBA - PR,
81470-300, BRASIL"
"05/03/202
3",20:27,603,007,HE724,ATROPELAMENTO,CICLISTA,0,1,"AVENIDA SETE DE SETEMBRO, BATEL,
CURITIBA","R. ALFERES ÂNGELO SAMPAIO, 1108
- ÁGUA VERDE, CURITIBA - PR,
80420-160, BRASIL","R. BENTO VIANA, 1040 - ÁGUA
VERDE, CURITIBA - PR, 80240-110,
BRASIL"
"06/03/202
3",19:09,550,007,HE704,ATROPELAMENTO,CICLISTA,1,0,"BR 476 - LINHA VERDE, XAXIM,
CURITIBA","RUA HELLEN KELLER, 6 - CAPÃO
RASO, CURITIBA - PR, 81020-590,
BRASIL","R. FREI HENRIQUE DE COIMBRA,
4261 - XAXIM, CURITIBA - PR,
81630-220, BRASIL"
"13/03/202
3",18:51,203,007,HE717,ATROPELAMENTO,CICLISTA,1,0,"TRAVESSA DA LAPA, CENTRO,
CURITIBA","AV. VISC. DE GUARAPUAVA, 13 -
CENTRO, CURITIBA - PR,
80045-345, BRASIL","AV. SETE DE SETEMBRO, 2686 -
CRISTO REI, CURITIBA - PR,
80230-085, BRASIL"
"28/03/202
3",17:10,303,008,JE709,ATROPELAMENTO,CICLISTA,3,0,"RUA DEPUTADO HEITOR ALENCAR
FURTADO, MOSSUNGUÊ, CURITIBA","R. FRANCISCO JUGLAIR, 528 -
MOSSUNGUÊ, CURITIBA - PR,
81200-230, BRASIL","RUA GRÃ NICCO, 240 - MOSSUNGUÊ,
CURITIBA - PR, 81200-200, BRASIL"
"06/04/202
3",20:30,060,007,HB601,ATROPELAMENTO,CICLISTA,1,0,"RUA EDUARDO SPRADA, CIDADE
INDUSTRIAL DE CURITIBA, CURITIBA","R. ROBERT REDZIMSKI, 41 - CIDADE
INDUSTRIAL DE CURITIBA, CURITIBA
- PR, 81270-102, BRASIL","R. DEP. HEITOR ALENCAR FURTADO,
4002 - CIDADE INDUSTRIAL DE
CURITIBA, CURITIBA - PR,
81280-340, BRASIL"
"12/04/202
3",05:55,603,007,HE728,ATROPELAMENTO,CICLISTA,0,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","R. ALFERES POLI, 372 - CENTRO,
CURITIBA - PR, 80220-050, BRASIL","RUA 24 DE MAIO, 379 - CENTRO,
CURITIBA - PR, 80220-060, BRASIL"
"18/04/202
3",18:07,603,007,HE700,ATROPELAMENTO,CICLISTA,0,0,"AVENIDA REPÚBLICA ARGENTINA,
ÁGUA VERDE, CURITIBA","R. PALMEIRAS, 18 - ÁGUA VERDE,
CURITIBA - PR, 80620-110, BRASIL","R. MURILO DO AMARAL FERREIRA,
1595 - ÁGUA VERDE, CURITIBA -
PR, 80620-120, BRASIL"
"18/04/202
3",19:01,505,006,EL330,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, BOQUEIRÃO, CURITIBA","R. ANTÔNIO SCHIEBEL, 1340 -
BOQUEIRÃO, CURITIBA - PR,
81670-380, BRASIL","R. SALVADOR FERRANTE, 1299 -
BOQUEIRÃO, CURITIBA - PR,
81670-390, BRASIL"
"19/04/202
3",16:32,338,005,DC297,ATROPELAMENTO,CICLISTA,1,0,"RUA DEPUTADO TENÓRIO CAVALCANTI,
UBERABA, CURITIBA","R. SD. VICENTE PEREIRA MIRANDA,
2 - UBERABA, CURITIBA - PR,
81590-070, BRASIL","R. ATÍLIO PIOTO, 2 - UBERABA,
CURITIBA - PR, 81590-060, BRASIL"
"07/05/202
3",19:40,203,003,BE727,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","TV. DA LAPA, 11 - CENTRO,
CURITIBA - PR, 80010-190, BRASIL","R. BARÃO DO RIO BRANCO, 979 -
CENTRO, CURITIBA - PR,
80010-180, BRASIL"
"12/05/202
3",07:09,302,005,DE696,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA PRESIDENTE AFFONSO
CAMARGO, BAIRRO JARDIM BOTÂNICO,
CURITIBA","R. ZEILA MOURA DOS SANTOS, 101 -
CRISTO REI, CURITIBA - PR,
80050-605, BRASIL","R. SCHILLER, 1 - CRISTO REI,
CURITIBA - PR, 80210-010, BRASIL"
"22/05/202
3",08:23,528,006,EA602,ATROPELAMENTO,CICLISTA,1,0,"RUA TIJUCAS DO SUL, SÍTIO
CERCADO, CURITIBA","RUA MARIA NICOLAS, 54 - SÍTIO
CERCADO, CURITIBA - PR,
81925-380, BRASIL","R. JUSSARA, 2460 - SÍTIO
CERCADO, CURITIBA - PR,
81925-410, BRASIL"
"24/05/202
3",17:06,303,005,DE713,ATROPELAMENTO,CICLISTA,1,0,"RUA VISCONDE DE NÁCAR, CENTRO,
CURITIBA","RUA EMILIANO PERNETA, 358 -
CENTRO, CURITIBA - PR,
80010-050, BRASIL","PRAÇA RUI BARBOSA - CENTRO,
CURITIBA - PR, 82860-140, BRASIL"
"25/05/202
3",07:31,512,006,EA020,ATROPELAMENTO,CICLISTA,1,0,"RUA CORONEL LUIZ JOSÉ DOS
SANTOS, XAXIM, CURITIBA","RUA PARANACITY, 134 - XAXIM,
CURITIBA - PR, 81830-160, BRASIL","RUA SANTO BOZZI, 185 - XAXIM,
CURITIBA - PR, 81830-120, BRASIL"
"30/05/202
3",07:33,550,007,HE711,ATROPELAMENTO,CICLISTA,0,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","R. LOURENÇO PINTO, 500 - CENTRO,
CURITIBA - PR, 80010-160, BRASIL","AV. MAL. FLORIANO PEIXOTO, 1000
- CENTRO, CURITIBA - PR,
80220-000, BRASIL"
"03/06/202
3",12:43,602,007,HE728,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, HAUER, CURITIBA","RUA CORONEL LUIZ JOSÉ DOS
SANTOS, 1151 - BOQUEIRÃO,
CURITIBA - PR, 81650-240, BRASIL","R. SALVADOR FERRANTE, 1220 -
BOQUEIRÃO, CURITIBA - PR,
81650-230, BRASIL"
"02/07/202
3",21:00,168,003,BI901,ATROPELAMENTO,CICLISTA,1,0,"TRAVESSA NESTOR DE CASTRO,
CENTRO HISTÓRICO, CENTRO,
CURITIBA","R. DO ROSÁRIO, 9 - CENTRO,
CURITIBA - PR, 80020-110, BRASIL","R. BARÃO DO SERRO AZUL, 135 -
CENTRO, CURITIBA - PR,
80020-180, BRASIL"
"02/07/202
3",22:14,502,011,GE605,ATROPELAMENTO,CICLISTA,1,0,"LINHA VERDE, FANNY, CURITIBA","RUA ESCRITORA LOURDES STROZZI -
PAROLIN, CURITIBA - PR,
82710-250, BRASIL","AV. PRESIDENTE WENCESLAU BRAZ, 2
- LINDOIA, CURITIBA - PR,
81030-030, BRASIL"
"31/07/202
3",19:38,023,003,BL329,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA REPÚBLICA ARGENTINA,
NOVO MUNDO, CURITIBA","R. PEDRO ZAGONEL, 1 - NOVO
MUNDO, CURITIBA - PR, 81050-110,
BRASIL","R. BERNARDO JACINTHO DA VEIGA,
28 - NOVO MUNDO, CURITIBA - PR,
81050-100, BRASIL"
"05/09/202
3",18:36,629,002,KI601,ATROPELAMENTO,CICLISTA,1,0,"4238, RUA FRANCISCO DEROSSO,
XAXIM","RUA JORGE BREY, 4321 - XAXIM,
CURITIBA - PR, 81720-230, BRASIL","R. VER. YRLAN CAVET, 10 - ALTO
BOQUEIRÃO, CURITIBA - PR,
81720-340, BRASIL"
"15/09/202
3",20:05,302,005,DE694,ATROPELAMENTO,CICLISTA,1,0,"RUA ENGENHEIRO COSTA BARROS,
CAJURU, CURITIBA","R. FONTE DA VIDA, 27 - CAJURU,
CURITIBA - PR, 82930-320, BRASIL","RUA SEBASTIÃO MARCOS LUIZ, 700 -
CAJURU, CURITIBA - PR,
82930-060, BRASIL"
"16/09/202
3",14:46,166,003,BC012,ATROPELAMENTO,CICLISTA,0,0,"RUA SÃO FRANCISCO XAVIER,
PILARZINHO, CURITIBA","RUA MIGUEL SPODARYK, PILARZINHO,
CURITIBA","R. MARCÍLIA VAZ CARNEIRO, 163 -
PILARZINHO, CURITIBA - PR,
82100-720, BRASIL"
