DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2
"24/01/202
2",09:36,603,011,GE703,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","R. MORRETES, 6 - PORTÃO,
CURITIBA - PR, 80610-150, BRASIL","R. JOÃO GEARA, 14 - PORTÃO,
CURITIBA - PR, 80610-330, BRASIL"
"25/02/202
2",16:10,X39,004,CB697,ATROPELAMENTO,CICLISTA,0,0,"RUA ALBERICO FLORES BUENO,
ATUBA, CURITIBA","R. RIO GUAPORÉ, 646 - BAIRRO
ALTO, CURITIBA - PR, 82840-320,
BRASIL","R. RIO JAGUARIBE, 586 - BAIRRO
ALTO, CURITIBA - PR, 82840-330,
BRASIL"
"02/03/202
2",18:55,302,005,DE707,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA PRESIDENTE AFFONSO
CAMARGO, CAPÃO DA IMBUIA,
CURITIBA","R. SÉTIMO SIMIONATO, 16 - CAPÃO
DA IMBUIA, CURITIBA - PR,
82800-310, BRASIL","R. NOSSA SRA. DE FÁTIMA, 21 -
CAPÃO DA IMBUIA, CURITIBA - PR,
82800-300, BRASIL"
"09/03/202
2",12:19,502,011,GR035,ATROPELAMENTO,CICLISTA,3,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, BOQUEIRÃO, CURITIBA","RUA MAESTRO CARLOS FRANK, 1352 -
ALTO BOQUEIRÃO, CURITIBA - PR,
81730, BRASIL","RUA PADRE ESTANISLAU
TRZEBIATOWSKI, 34 - BOQUEIRÃO,
CURITIBA - PR, 81750-390, BRASIL"
"10/03/202
2",15:00,303,005,DE703,ATROPELAMENTO,CICLISTA,1,0,"RUA PROFESSOR FERNANDO MOREIRA,
CENTRO, CURITIBA","ALAMEDA PRUDENTE DE MORAES, 809
- CENTRO, CURITIBA - PR,
80430-234, BRASIL","R. BRG. FRANCO, 797 - ÁGUA
VERDE, CURITIBA - PR, 80430-210,
BRASIL"
"17/03/202
2",20:31,603,007,HE722,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","R. CARLOS DIETZSCH, 25 - PORTÃO,
CURITIBA - PR, 80330-000, BRASIL","RUA LUIZ PARIGOT DE SOUZA, 3 -
PORTÃO, CURITIBA - PR,
81070-050, BRASIL"
"26/04/202
2",18:31,550,011,GE715,ATROPELAMENTO,CICLISTA,1,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","R. LOURENÇO PINTO, 500 - CENTRO,
CURITIBA - PR, 80010-160, BRASIL","AV. MAL. FLORIANO PEIXOTO, 1000
- CENTRO, CURITIBA - PR,
80230-110, BRASIL"
"27/04/202
2",12:02,552,011,GC010,ATROPELAMENTO,CICLISTA,1,0,"RUA TIJUCAS DO SUL, SÍTIO
CERCADO, CURITIBA","R. DES CARLOS P GUIMARAES, 233 -
SÍTIO CERCADO, CURITIBA - PR,
81925-450, BRASIL","R. MIN. FLÁVIO SUPLICY DE
LACERDA, 273 - SÍTIO CERCADO,
CURITIBA - PR, 81925-470, BRASIL"
"19/05/202
2",18:10,706,008,JC302,ATROPELAMENTO,CICLISTA,2,0,"AVENIDA PRESIDENTE ARTHUR DA
SILVA BERNARDES, SANTA QUITÉRIA,
CURITIBA","RUA REINALDO PAZELLO, 2 - SANTA
QUITERIA, CURITIBA - PR,
80310-110, BRASIL","R. PROF. ULISSES VIEIRA, 1241 -
SANTA QUITERIA, CURITIBA - PR,
80310-120, BRASIL"
"25/05/202
2",07:24,625,011,GI036,ATROPELAMENTO,CICLISTA,1,0,"RUA CID MARCONDES DE
ALBUQUERQUE, PINHEIRINHO,
CURITIBA","R. JOSÉ OSÍRES BAGLIOLI, 1365 -
PINHEIRINHO, CURITIBA - PR,
81820-090, BRASIL","R. QUATORZE BIS, 91 -
PINHEIRINHO, CURITIBA - PR,
81820-170, BRASIL"
"14/06/202
2",13:36,550,007,HE719,ATROPELAMENTO,CICLISTA,1,0,"RUA SANDER ROBERTO DA CUNHA,
CAPÃO RASO, CURITIBA","R. ANDRÉ FERREIRA BARBOSA, 1091
- CAPÃO RASO, CURITIBA - PR,
81130-210, BRASIL","RODOVIA BR476, 18288 -
PINHEIRINHO, CURITIBA - PR,
81020-490, BRASIL"
