DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2
"21/01/202
2",08:53,639,011,GI009,ATROPELAMENTO,PEDESTRE,1,0,"RUA JOÃO SIKORA, UMBARÁ,
CURITIBA","R. VANAFLORES DE LIMA KERN, 88
213 - UMBARÁ, CURITIBA - PR,
81930-750, BRASIL","R. CRISTÓVÃO COLOMBO, 359 -
UMBARÁ, CURITIBA - PR,
81930-790, BRASIL"
"06/02/202
2",16:22,706,008,JC303,ATROPELAMENTO,PEDESTRE,1,0,"RUA EDSON D'ÁVILA ATOR E
DIRETOR, SANTA QUITÉRIA,
CURITIBA","R. REZALA SIMÃO, 762 - SANTA
QUITERIA, CURITIBA - PR,
80330-180, BRASIL","RUA LUIZ DELFINO, 63 - PORTÃO,
CURITIBA - PR, 80330-150, BRASIL"
"17/02/202
2",22:47,602,011,GE701,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA PRESIDENTE WENCESLAU
BRAZ, LINDÓIA, CURITIBA","R. ALEXANDRE SALATA, 254 -
GUAÍRA, CURITIBA - PR,
81010-030, BRASIL","R. DUARTE DA COSTA, 195 -
GUAÍRA, CURITIBA - PR,
81010-060, BRASIL"
"17/02/202
2",14:29,602,011,GE707,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA WINSTON CHURCHILL, CAPÃO
RASO, CURITIBA","RUA JOSÉ RODRIGUES PINHEIRO, 145
- CAPÃO RASO, CURITIBA - PR,
81130-200, BRASIL","RUA DR. WALDEMIRO PEREIRA, 44 -
CAPÃO RASO, CURITIBA - PR,
81150-150, BRASIL"
"21/02/202
2",15:33,967,010,MI853,ATROPELAMENTO,PEDESTRE,1,0,"PRAÇA TIRADENTES, CENTRO
HISTÓRICO, CENTRO","RUA BARÃO DO SERRO AZUL, 217 -
SÃO FRANCISCO, CURITIBA - PR,
80020-180, BRASIL","R. MONSENHOR CELSO, 11 - CENTRO,
CURITIBA - PR, 80010-150, BRASIL"
"08/03/202
2",09:43,200,003,BD139,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA SETE DE SETEMBRO, BATEL,
CURITIBA","RUA DESEMBARGADOR MOTTA, 1324 -
ÁGUA VERDE, CURITIBA - PR,
80250-060, BRASIL","R. BUENOS AIRES, 571 - BATEL,
CURITIBA - PR, 80250-070, BRASIL"
"01/04/202
2",19:00,505,006,EL329,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, BOQUEIRÃO, CURITIBA","R. HIPÓLITO DA COSTA, 944 -
BOQUEIRÃO, CURITIBA - PR,
81650-280, BRASIL","R. CLETO DA SILVA, 883 -
BOQUEIRÃO, CURITIBA - PR,
81650-290, BRASIL"
"04/04/202
2",19:12,200,003,BE725,ATROPELAMENTO,PEDESTRE,0,1,"AVENIDA JOÃO GUALBERTO, JUVEVÊ,
CURITIBA","R. ROCHA POMBO, 508 - JUVEVÊ,
CURITIBA - PR, 80030-390, BRASIL","RUA ALBERTO BOLLIGER, 321 -
JUVEVÊ, CURITIBA - PR,
80030-280, BRASIL"
"07/04/202
2",13:28,203,011,GE717,ATROPELAMENTO,PEDESTRE,2,0,"TRAVESSA DA LAPA, CENTRO,
CURITIBA","R. ANDRÉ DE BARROS, 678 -
CENTRO, CURITIBA - PR,
80010-080, BRASIL","R. PEDRO IVO, 716 - CENTRO,
CURITIBA - PR, 80010-020, BRASIL"
"11/04/202
2",07:53,202,011,GD341,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","R. BRG. FRANCO, 2463 - REBOUÇAS,
CURITIBA - PR, 80220-100, BRASIL","RUA DESEMBARGADOR MOTTA, 1324 -
ÁGUA VERDE, CURITIBA - PR,
80250-060, BRASIL"
