DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2
"13/01/202
3",17:25,023,010,MR801,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA REPÚBLICA ARGENTINA,
NOVO MUNDO, CURITIBA","R. CEL. HERCULANO DE ARAÚJO, 14
- NOVO MUNDO, CURITIBA - PR,
81050-090, BRASIL","R. BERNARDO JACINTHO DA VEIGA,
30 - NOVO MUNDO, CURITIBA - PR,
81050-100, BRASIL"
"17/01/202
3",05:55,603,011,GE708,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","R. MARANHÃO, 2290 - ÁGUA VERDE,
CURITIBA - PR, 80610-001, BRASIL","R. ENG. NIEPCE DA SILVA, 10 -
PORTÃO, CURITIBA - PR,
80610-280, BRASIL"
"26/01/202
3",08:08,603,007,HE718,ATROPELAMENTO,PEDESTRE,3,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","R. MORRETES, 17 - PORTÃO,
CURITIBA - PR, 80610-150, BRASIL","R. JOÃO GEARA, 14 - PORTÃO,
CURITIBA - PR, 80610-330, BRASIL"
"03/02/202
3",16:28,023,006,EL600,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA NOSSA SENHORA DA LUZ,
ALTO DA RUA XV, CURITIBA","R. JUVENAL GALENO, 5 - JARDIM
SOCIAL, CURITIBA - PR,
82520-030, BRASIL","R. ARQUIMEDES CRUZ, 1957 -
JARDIM SOCIAL, CURITIBA - PR,
82520-020, BRASIL"
"14/02/202
3",09:31,603,007,HE722,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA WINSTON CHURCHILL, CAPÃO
RASO, CURITIBA","R. JOÃO RODRIGUES PINHEIRO, 181
- CAPÃO RASO, CURITIBA - PR,
81130-180, BRASIL","R. MAL. RONDON, 38 - CAPÃO RASO,
CURITIBA - PR, 81130-170, BRASIL"
"17/02/202
3",08:21,503,002,KE845,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, REBOUÇAS, CURITIBA","R. CHILE, 1376 - REBOUÇAS,
CURITIBA - PR, 80215-170, BRASIL","R. BALTAZAR CARRASCO DOS REIS,
1638 - REBOUÇAS, CURITIBA - PR,
80230-070, BRASIL"
"18/02/202
3",18:47,503,011,GE605,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","AV. MAL. FLORIANO PEIXOTO, 1000
- CENTRO, CURITIBA - PR,
80230-110, BRASIL","R. LOURENÇO PINTO, 500 - CENTRO,
CURITIBA - PR, 80010-160, BRASIL"
"24/02/202
3",17:43,200,007,HE701,ATROPELAMENTO,PEDESTRE,1,0,"RUA PRESIDENTE FARIA, CENTRO,
CURITIBA","R. ALFREDO BUFREN, 86 - CENTRO,
CURITIBA - PR, 80020-240, BRASIL","R. XV DE NOVEMBRO, 550 - CENTRO,
CURITIBA - PR, 80020-310, BRASIL"
"27/02/202
3",20:02,528,011,GA698,ATROPELAMENTO,PEDESTRE,1,0,"RUA PASTOR ANTÔNIO POLITO, ALTO
BOQUEIRÃO, CURITIBA","R. CASCAVEL, 3160 - BOQUEIRÃO,
CURITIBA - PR, 81750-090, BRASIL","RUA WILSON DACHEUX PEREIRA, 1957
- ALTO BOQUEIRÃO, CURITIBA - PR,
81770-200, BRASIL"
"03/03/202
3",18:07,231,003,BI019,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA PARANÁ, BACACHERI,
CURITIBA","R. PEDRO DOSKA, 40 - SANTA
CÂNDIDA, CURITIBA - PR,
82620-350, BRASIL","R. ANA DE SOUZA FRANDINA, 58 -
SANTA CÂNDIDA, CURITIBA - PR,
82620-410, BRASIL"
"08/03/202
3",10:25,203,003,BE719,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","R. ORLANDO PADILHA DOS SANTOS,
181 - PORTÃO, CURITIBA - PR,
81310-010, BRASIL","RUA LUIZ PARIGOT DE SOUZA, 10 -
PORTÃO, CURITIBA - PR,
81070-050, BRASIL"
"09/03/202
3",18:00,200,007,HE727,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","R. JOÃO GEARA, 14 A - PORTÃO,
CURITIBA - PR, 80610-330, BRASIL","R. JOÃO RODOLFO SCHLENKER, 26 -
ÁGUA VERDE, CURITIBA - PR,
80610-270, BRASIL"
"14/03/202
3",11:56,602,007,HE608,ATROPELAMENTO,PEDESTRE,2,0,"RUA DOS PIONEIROS, SÍTIO
CERCADO, CURITIBA","RUA SANT'ANA DO ITARARÉ, 332 -
SÍTIO CERCADO, CURITIBA - PR,
81910-380, BRASIL","R. IZAAC FERREIRA DA CRUZ, 3812
- SÍTIO CERCADO, CURITIBA - PR,
81910-000, BRASIL"
"28/03/202
3",19:20,203,003,BE728,ATROPELAMENTO,PEDESTRE,6,0,"AVENIDA SETE DE SETEMBRO,
CENTRO, CURITIBA","RUA DESEMBARGADOR MOTTA, 1324 -
ÁGUA VERDE, CURITIBA - PR,
80250-060, BRASIL","R. BUENOS AIRES, 582 - BATEL,
CURITIBA - PR, 80250-070, BRASIL"
"29/03/202
3",22:45,010,003,BB301,ATROPELAMENTO,PEDESTRE,1,0,"RUA CHILE, REBOUÇAS, CURITIBA","RUA DR. REYNALDO MACHADO, 621 -
REBOUÇAS, CURITIBA - PR,
80215-010, BRASIL","R. FRANCISCO NUNES, 621 -
REBOUÇAS, CURITIBA - PR,
80215-000, BRASIL"
"31/03/202
3",08:41,304,007,HL322,ATROPELAMENTO,PEDESTRE,2,0,"AVENIDA PRESIDENTE AFFONSO
CAMARGO, BAIRRO JARDIM BOTÂNICO,
CURITIBA","R. JOSÉ DE ALENCAR, 20 - CRISTO
REI, CURITIBA - PR, 80045-100,
BRASIL","R. MARIANO TORRES, 1039 - JARDIM
BOTÂNICO, CURITIBA - PR,
80060-120, BRASIL"
"31/03/202
3",15:41,507,006,EL329,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, BOQUEIRÃO, CURITIBA","RUA CORONEL LUIZ JOSÉ DOS
SANTOS, 1251 - BOQUEIRÃO,
CURITIBA - PR, 81670-400, BRASIL","RUA PROFESSOR JOSÉ MAURÍCIO
HIGGINS, 1101 - BOQUEIRÃO,
CURITIBA - PR, 81650-250, BRASIL"
